"id";"Image";"Nom";"Référence";"Catégorie";"Prix de base";"Prix final";"Quantité";"État";
"1571";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6091B 278/5A";"0BV6091B 278/5A";"Bulgari";"140.833333";"169";"10";"0";
"1635";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6106B 20144Z";"0BV6106B 20144Z";"Bulgari";"182.500000";"219";"10";"0";
"1579";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6101B 20146F";"0BV6101B 20146F";"Bulgari";"199.166667";"239";"10";"0";
"1643";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5036K 395/81";"0BV5036K 395/81";"Bulgari";"265.833333";"319";"10";"0";
"1587";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8206 545373";"0BV8206 545373";"Bulgari";"182.500000";"219";"10";"0";
"1535";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6101B 278/13";"0BV6101B 278/13";"Bulgari";"199.166667";"239";"10";"0";
"1715";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8203 54474Z";"0BV8203 54474Z";"Bulgari";"182.500000";"219";"10";"0";
"1479";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6093 128/87";"0BV6093 128/87";"Bulgari";"165.833333";"199";"10";"0";
"1659";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6091B 20146F";"0BV6091B 20146F";"Bulgari";"140.833333";"169";"10";"0";
"1723";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8164B 504/13";"0BV8164B 504/13";"Bulgari";"132.500000";"159";"10";"0";
"1487";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6099 20188G";"0BV6099 20188G";"Bulgari";"182.500000";"219";"10";"0";
"1667";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7031 531387";"0BV7031 531387";"Bulgari";"182.500000";"219";"10";"0";
"1431";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6077B 278/13";"0BV6077B 278/13";"Bulgari";"149.166667";"179";"10";"0";
"1731";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8182B 977/13";"0BV8182B 977/13";"Bulgari";"265.833333";"319";"10";"0";
"1495";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8202B 5443T5";"0BV8202B 5443T5";"Bulgari";"215.833333";"259";"10";"0";
"1675";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8201B 504/13";"0BV8201B 504/13";"Bulgari";"165.833333";"199";"10";"0";
"1439";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8188B 54308G";"0BV8188B 54308G";"Bulgari";"182.500000";"219";"10";"0";
"1739";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6087B 20238G";"0BV6087B 20238G";"Bulgari";"182.500000";"219";"10";"0";
"1503";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6062K 393/3B";"0BV6062K 393/3B";"Bulgari";"315.833333";"379";"10";"0";
"1683";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8208 501/8G";"0BV8208 501/8G";"Bulgari";"182.500000";"219";"10";"0";
"1447";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8197 543690";"0BV8197 543690";"Bulgari";"157.500000";"189";"10";"0";
"1747";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5040K 393/83";"0BV5040K 393/83";"Bulgari";"449.166667";"539";"10";"0";
"1511";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8170 54158H";"0BV8170 54158H";"Bulgari";"140.833333";"169";"10";"0";
"1691";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8182B 11198G";"0BV8182B 11198G";"Bulgari";"265.833333";"319";"10";"0";
"1455";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5045 195/87";"0BV5045 195/87";"Bulgari";"140.833333";"169";"10";"0";
"1755";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6104 20238G";"0BV6104 20238G";"Bulgari";"182.500000";"219";"10";"0";
"1519";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7028K 538881";"0BV7028K 538881";"Bulgari";"265.833333";"319";"10";"0";
"1699";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8189 897/5A";"0BV8189 897/5A";"Bulgari";"165.833333";"199";"10";"0";
