Id;Caracteristique
1749;Longueur des branches:145mm,Largeur d'un verre:57mm,Largeur du pont:19mm,Largeur totale:278mm,Hauteur d'un verre:48.6mm,Matière:Titane,Forme:Carré,Genre:Homme,Couleur:gris_606060
1513;Longueur des branches:135mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:266mm,Hauteur d'un verre:49.7mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:Gris_606060
1693;Longueur des branches:135mm,Largeur d'un verre:59mm,Largeur du pont:16mm,Largeur totale:269mm,Hauteur d'un verre:53.4mm,Matière:Métal,Forme:Carré,Genre:Femme,Couleur:marron_582900
1457;Longueur des branches:135mm,Largeur d'un verre:56mm,Largeur du pont:18mm,Largeur totale:265mm,Hauteur d'un verre:46.8mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:marron_582900
1757;Longueur des branches:135mm,Largeur d'un verre:54.1mm,Largeur du pont:19mm,Largeur totale:262.2mm,Hauteur d'un verre:45.2mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:gris_606060
1521;Longueur des branches:135mm,Largeur d'un verre:54.1mm,Largeur du pont:19mm,Largeur totale:262.2mm,Hauteur d'un verre:45.2mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:gris_606060
1701;Longueur des branches:140mm,Largeur d'un verre:61mm,Largeur du pont:13mm,Largeur totale:275mm,Hauteur d'un verre:53.4mm,Matière:Métal,Forme:Pilote,Genre:Femme,Couleur:gris_606060
1465;Longueur des branches:145mm,Largeur d'un verre:60mm,Largeur du pont:14mm,Largeur totale:279mm,Hauteur d'un verre:47.4mm,Matière:Métal,Forme:Pilote,Genre:Homme,Couleur:marron_582900
1592;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:269mm,Hauteur d'un verre:44.9mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:gris_606060
1600;Longueur des branches:135mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:266mm,Hauteur d'un verre:47.4mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:Gris_606060
1544;Longueur des branches:135mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:266mm,Hauteur d'un verre:47.4mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:violet_660099
1608;Longueur des branches:135mm,Largeur d'un verre:58mm,Largeur du pont:18mm,Largeur totale:269mm,Hauteur d'un verre:50.5mm,Matière:Métal,Forme:Papillon,Genre:Femme,Couleur:marron_582900
1552;Longueur des branches:135mm,Largeur d'un verre:58mm,Largeur du pont:18mm,Largeur totale:269mm,Hauteur d'un verre:50.5mm,Matière:Métal,Forme:Papillon,Genre:Femme,Couleur:violet_660099
1616;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:269mm,Hauteur d'un verre:48.3mm,Matière:Métal,Forme:Pantos,Genre:Femme,Couleur:rose_FD6C9E
1560;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:269mm,Hauteur d'un verre:48.3mm,Matière:Métal,Forme:Pantos,Genre:Femme,Couleur:gris_606060
